fx,fy,fz,tx,ty,tz,t
9.03945,-0.277052,10.318,0.398299,-0.70102,-0.147187,346983
8.88215,-0.211659,10.3073,0.395986,-0.702718,-0.147721,348119
8.66058,-0.19139,10.2926,0.395344,-0.707164,-0.146309,349576
8.83852,-0.253378,10.3299,0.398067,-0.699363,-0.146336,350933
8.80989,-0.24917,10.3207,0.397202,-0.700095,-0.148254,350969
8.86703,-0.298912,10.3222,0.399446,-0.699288,-0.14849,352394
8.99002,-0.366419,10.3165,0.401325,-0.696874,-0.149584,353841
9.13309,-0.290538,10.3488,0.397995,-0.690603,-0.14957,354831
9.16214,-0.351697,10.3421,0.401554,-0.688977,-0.147763,355277
9.0159,-0.303942,10.3343,0.399573,-0.691781,-0.147985,356716
8.87359,-0.18516,10.3309,0.394883,-0.693784,-0.148881,358141
8.77459,-0.132896,10.3225,0.392588,-0.698128,-0.148861,358768
8.60935,-0.144463,10.3084,0.393305,-0.702067,-0.146633,359599
8.64163,-0.169652,10.2965,0.394229,-0.701603,-0.150372,361002
8.70176,-0.171491,10.2984,0.393911,-0.701262,-0.149259,362465
8.65584,-0.184324,10.294,0.394474,-0.703277,-0.14926,362692
8.75585,-0.230368,10.2877,0.396466,-0.701433,-0.149542,363878
8.75456,-0.241492,10.2817,0.397059,-0.700922,-0.146978,365291
8.71755,-0.193853,10.2779,0.394967,-0.702545,-0.146962,366630
8.59798,-0.11515,10.2822,0.391978,-0.705224,-0.148024,366726
8.51176,-0.031928,10.2928,0.388114,-0.706916,-0.149328,368177
8.49192,-0.0785937,10.2928,0.389759,-0.708576,-0.146709,369623
8.69629,-0.224589,10.3372,0.396171,-0.699616,-0.146761,370597
8.852,-0.27597,10.3422,0.398639,-0.697194,-0.149281,371048
9.0265,-0.250835,10.3574,0.396989,-0.694657,-0.148594,372496
9.19421,-0.274639,10.3606,0.398142,-0.691398,-0.149632,373880
9.08599,-0.219967,10.344,0.395742,-0.696144,-0.149611,374522
9.12002,-0.254269,10.3489,0.398138,-0.694861,-0.147873,375306
9.04305,-0.188052,10.3605,0.394558,-0.696223,-0.146625,376753
8.95479,-0.166799,10.379,0.393448,-0.697504,-0.149334,378187
8.86768,-0.175236,10.3647,0.393818,-0.701325,-0.149332,378443
8.83659,-0.239209,10.3708,0.396018,-0.703004,-0.147818,379617
9.01101,-0.279685,10.3803,0.398011,-0.699913,-0.14926,381045
9.02588,-0.285494,10.3696,0.398265,-0.699257,-0.149262,382386
9.25638,-0.263177,10.391,0.396799,-0.69541,-0.147887,382487
9.49711,-0.30046,10.3931,0.398311,-0.690318,-0.150258,383926
9.57491,-0.376418,10.3895,0.402546,-0.687566,-0.149489,385332
9.58473,-0.388093,10.3929,0.403059,-0.687136,-0.149492,386336
9.51176,-0.310926,10.3983,0.399383,-0.687648,-0.146936,386765
9.3794,-0.287986,10.3957,0.398771,-0.689113,-0.148962,388215
9.2517,-0.320937,10.3827,0.400429,-0.691463,-0.147661,389649
9.25958,-0.328938,10.3857,0.400781,-0.691118,-0.147663,390223
9.33061,-0.296065,10.373,0.399271,-0.689566,-0.149881,391055
9.46539,-0.26804,10.3659,0.398229,-0.686969,-0.14919,392502
9.6121,-0.306039,10.3441,0.39971,-0.683422,-0.15034,393962
9.3174,-0.292042,10.298,0.399093,-0.696346,-0.15032,394164
9.33162,-0.330337,10.283,0.400952,-0.694437,-0.148985,395367
9.18878,-0.293189,10.2674,0.399313,-0.696506,-0.148567,396823
9.27148,-0.339313,10.2013,0.401334,-0.692857,-0.148585,398093
9.12936,-0.272384,10.1918,0.398725,-0.694364,-0.147508,398228
8.9975,-0.281074,10.1618,0.398758,-0.697332,-0.145961,399695
9.06672,-0.290971,10.1312,0.399674,-0.695647,-0.151461,401131
9.13338,-0.322715,10.1491,0.401068,-0.692725,-0.151474,402031
9.22906,-0.263215,10.1233,0.398327,-0.690994,-0.149107,402551
9.33649,-0.309562,10.0842,0.399572,-0.687977,-0.150011,404002
9.25847,-0.380949,10.0485,0.403132,-0.68812,-0.14837,405459
8.98703,-0.328844,10.0611,0.400846,-0.70004,-0.14834,405973
8.74066,-0.257308,10.0427,0.397531,-0.703761,-0.147844,406854
8.42856,-0.207681,10.0357,0.395202,-0.708863,-0.147029,408269
