fx,fy,fz,tx,ty,tz,t
-0.305405,0.0684136,0.296475,-0.00536959,0.00344288,0.00546156,146381
-0.235083,0.0253673,0.29777,-0.00321258,0.00425788,0.00784346,147578
-0.146268,0.003366,0.300724,-0.00257894,0.00475022,0.00686358,148966
-0.134135,0.0157335,0.282481,-0.00312286,0.00528796,0.00686638,150256
0.0185611,0.00868215,0.274864,-0.00299601,0.00817736,0.00518702,150410
0.00150447,0.0298952,0.2664,-0.00349813,0.0076262,0.00931707,151870
-0.0713215,0.070095,0.257748,-0.00558074,0.00649916,0.00660594,153285
-0.0116754,0.0159512,0.270448,-0.0032032,0.009114,0.00658754,154185
-0.155082,0.0117946,0.270349,-0.00275241,0.00629098,0.00822335,154734
-0.26346,0.0241032,0.27402,-0.00326627,0.00318635,0.00642343,156131
-0.193483,-0.00195279,0.28014,-0.00248936,0.00415665,0.00595843,157570
-0.280427,0.0521629,0.291182,-0.00486437,0.000336816,0.0059783,158159
-0.187537,-0.00630728,0.284029,-0.00213055,0.000763992,0.00638251,159001
-0.000264058,0.0178159,0.277518,-0.00322496,0.00444162,0.00469347,160455
0.0300318,0.0570856,0.268519,-0.00494084,0.00506626,0.00927655,161868
-0.0399264,0.0942101,0.250419,-0.00657154,0.00200025,0.00929074,162075
-0.101158,0.0994637,0.23323,-0.00646279,0.00105945,0.0063655,163298
-0.233962,0.140217,0.236841,-0.00824418,-0.00118864,0.00888942,164741
-0.0766676,0.083423,0.249403,-0.00575033,0.00571286,0.00886497,166028
-0.217339,0.071894,0.258633,-0.00566646,0.00218963,0.00721615,166166
-0.176052,-0.00904802,0.26144,-0.00221198,0.00278006,0.00520003,167581
-0.0748175,-0.023262,0.268884,-0.00201217,0.0033171,0.00754943,169069
0.0355394,-0.0350408,0.27977,-0.00149451,0.00815859,0.00754013,169905
0.243967,-0.0399512,0.269405,-0.00110931,0.0121204,0.00449669,170465
0.328759,-0.0068275,0.262502,-0.0021289,0.0139775,0.00844232,171906
0.281651,0.0320212,0.248842,-0.00343562,0.0134039,0.0066382,173349
0.0376701,0.023899,0.233876,-0.00307989,0.00269762,0.0066492,173840
-0.0876345,0.0295866,0.235068,-0.0030128,0.000998157,0.00891391,174769
-0.258981,0.0455171,0.246565,-0.00436494,-0.00293381,0.00830814,176214
-0.249353,-0.0339644,0.248256,-0.000703395,-0.00300826,0.00715882,177632
-0.0868489,-0.0116694,0.245853,-0.00168225,0.00412617,0.00715622,177783
0.00209695,-0.0296023,0.248501,-0.0011494,0.00488734,0.00898472,179048
